Area,Elevation
3302.0,2985.834716796875
7220.0,2986.334716796875
11364.0,2986.834716796875
15339.0,2987.334716796875
18994.0,2987.834716796875
22313.0,2988.334716796875
25248.0,2988.834716796875
27850.0,2989.334716796875
30189.0,2989.834716796875
32313.0,2990.334716796875
34272.0,2990.834716796875
36118.0,2991.334716796875
37864.0,2991.834716796875
39570.0,2992.334716796875
41230.0,2992.834716796875
42812.0,2993.334716796875
44365.0,2993.834716796875
45881.0,2994.334716796875
47397.0,2994.834716796875
48901.0,2995.334716796875
50339.0,2995.834716796875
51773.0,2996.334716796875
53217.0,2996.834716796875
54658.0,2997.334716796875
56084.0,2997.834716796875
57491.0,2998.334716796875
58943.0,2998.834716796875
60397.0,2999.334716796875
61839.0,2999.834716796875
63417.0,3000.334716796875
64885.0,3000.834716796875
66297.0,3001.334716796875
67605.0,3001.834716796875
68821.0,3002.334716796875
69930.0,3002.834716796875
71014.0,3003.334716796875
71974.0,3003.834716796875
72910.0,3004.334716796875
73806.0,3004.834716796875
74695.0,3005.334716796875
75563.0,3005.834716796875
76450.0,3006.334716796875
77343.0,3006.834716796875
78166.0,3007.334716796875
78906.0,3007.834716796875
79607.0,3008.334716796875
80340.0,3008.834716796875
81062.0,3009.334716796875
81771.0,3009.834716796875
82473.0,3010.334716796875
83203.0,3010.834716796875
83924.0,3011.334716796875
84643.0,3011.834716796875
85355.0,3012.334716796875
86085.0,3012.834716796875
86840.0,3013.334716796875
87627.0,3013.834716796875
88427.0,3014.334716796875
89232.0,3014.834716796875
89930.0,3015.334716796875
90612.0,3015.834716796875
91279.0,3016.334716796875
91943.0,3016.834716796875
92575.0,3017.334716796875
93184.0,3017.834716796875
93708.0,3018.334716796875
94138.0,3018.834716796875
94499.0,3019.334716796875
94785.0,3019.834716796875
95053.0,3020.334716796875
95291.0,3020.834716796875
95514.0,3021.334716796875
95682.0,3021.834716796875
95858.0,3022.334716796875
96014.0,3022.834716796875
96164.0,3023.334716796875
96305.0,3023.834716796875
96447.0,3024.334716796875
96557.0,3024.834716796875
96657.0,3025.334716796875
96720.0,3025.834716796875
96723.0,3026.334716796875
